Name,School,Gender,Role,Total Citations,Earliest Pub,Cit rank,YO rank,AvCit,AvAge,PR value,age,citperyear
Nikolai Reshetikhin,Berkeley,Male,Professor,3331,1981,0.933,0.714,0.66608,0.56238,1.184394893,40,83.275
Fraydoun Rezakhanlou,Berkeley,Male,Professor,455,1988,0.416,0.5,0.66608,0.56238,1.184394893,33,13.78787879
Kenneth Ribet,Berkeley,Male,Professor,1550,1973,0.799,0.885,0.66608,0.56238,1.184394893,48,32.29166667
Marc Rieffel,Berkeley,Male,Professor,3215,1963,0.926,0.982,0.66608,0.56238,1.184394893,58,55.43103448
Thomas Scanlon,Berkeley,Male,Professor,435,1997,0.405,0.24,0.66608,0.56238,1.184394893,24,18.125
James A. Sethian,Berkeley,Male,Professor,5080,1982,0.967,0.684,0.66608,0.56238,1.184394893,39,130.2564103
Theodore Slaman,Berkeley,Male,Professor,1012,1981,0.681,0.714,0.66608,0.56238,1.184394893,40,25.3
John Strain,Berkeley,Male,Professor,576,1988,0.492,0.5,0.66608,0.56238,1.184394893,33,17.45454545
Bernd Sturmfels,Berkeley,Male,Professor,8207,1986,0.989,0.564,0.66608,0.56238,1.184394893,35,234.4857143
Daniel Tataru,Berkeley,Male,Professor,4172,1988,0.956,0.5,0.66608,0.56238,1.184394893,33,126.4242424
Constantin Teleman,Berkeley,Male,Professor,496,1994,0.441,0.334,0.66608,0.56238,1.184394893,27,18.37037037
Luca Trevisan,Berkeley,Male,Professor,1241,1995,0.742,0.304,0.66608,0.56238,1.184394893,26,47.73076923
Dan-Virgil Voiculescu,Berkeley,Male,Professor,4545,1966,0.963,0.966,0.66608,0.56238,1.184394893,55,82.63636364
Paul A. Vojta,Berkeley,Male,Professor,614,1983,0.517,0.652,0.66608,0.56238,1.184394893,38,16.15789474
Jon Wilkening,Berkeley,Male,Professor,145,2002,0.134,0.103,0.66608,0.56238,1.184394893,19,7.631578947
Mariusz Wodzicki,Berkeley,Male,Professor,463,1982,0.42,0.684,0.66608,0.56238,1.184394893,39,11.87179487
Maciej Zworski,Berkeley,Male,Professor,3190,1985,0.925,0.593,0.66608,0.56238,1.184394893,36,88.61111111
Benjamin Brewster,Binghamton ,Male,Professor,90,1969,0.087,0.939,0.2741,0.6403,0.428080587,52,1.730769231
Matthew G. Brin,Binghamton ,Male,Professor,406,1975,0.386,0.846,0.2741,0.6403,0.428080587,46,8.826086957
Alex Feingold,Binghamton ,Male,Professor,280,1977,0.278,0.805,0.2741,0.6403,0.428080587,44,6.363636364
Pedro Ontaneda,Binghamton ,Male,Professor,185,1994,0.174,0.334,0.2741,0.6403,0.428080587,27,6.851851852
Anton Schick,Binghamton ,Male,Professor,579,1983,0.496,0.652,0.2741,0.6403,0.428080587,38,15.23684211
Qiqing Yu,Binghamton ,Male,Professor,112,1986,0.108,0.564,0.2741,0.6403,0.428080587,35,3.2
Thomas Zaslabsky,Binghamton ,Male,Professor,1280,1974,0.751,0.869,0.2741,0.6403,0.428080587,47,27.23404255
Fernando Guzman ,Binghamton ,Male,Professor,83,1985,0.081,0.593,0.2741,0.6403,0.428080587,36,2.305555556
Marcin Mazur,Binghamton ,Male,Professor,148,1992,0.137,0.387,0.2741,0.6403,0.428080587,29,5.103448276
Adrian Vasiu,Binghamton ,Male,Professor,243,1991,0.243,0.414,0.2741,0.6403,0.428080587,30,8.1
Ruth Charney,Brandeis,Female,Professor,963,1977,0.663,0.805,0.5115,0.621875,0.822512563,44,21.88636364
Mark Adler,Brandeis,Male,Professor,1454,1976,0.787,0.823,0.5115,0.621875,0.822512563,45,32.31111111
Joel Bellaiche,Brandeis,Male,Professor,311,2003,0.307,0.082,0.5115,0.621875,0.822512563,18,17.27777778
Kiyoshi Igusa,Brandeis,Male,Professor,629,1979,0.526,0.76,0.5115,0.621875,0.822512563,42,14.97619048
Dmitry Kleinbock,Brandeis,Male,Professor,1159,1993,0.721,0.363,0.5115,0.621875,0.822512563,28,41.39285714
Bong Lian,Brandeis,Male,Professor,647,1989,0.54,0.469,0.5115,0.621875,0.822512563,32,20.21875
Alan Mayer,Brandeis,Male,Professor,95,1961,0.091,0.989,0.5115,0.621875,0.822512563,60,1.583333333
Daniel Ruberman,Brandeis,Male,Professor,513,1982,0.457,0.684,0.5115,0.621875,0.822512563,39,13.15384615
Jill Pipher,Brown ,Female,Professor,1284,1985,0.752,0.593,0.592083333,0.580083333,1.020686683,36,35.66666667
Dan Abramovich,Brown ,Male,Professor,1493,1991,0.793,0.414,0.592083333,0.580083333,1.020686683,30,49.76666667
Brian Cole,Brown ,Male,Professor,365,1968,0.354,0.949,0.592083333,0.580083333,1.020686683,53,6.886792453
George Dakalopoulos,Brown ,Male,Professor,412,1989,0.39,0.469,0.592083333,0.580083333,1.020686683,32,12.875
Thomas Goodwillie,Brown ,Male,Professor,679,1982,0.561,0.684,0.592083333,0.580083333,1.020686683,39,17.41025641
Brendan Hassett,Brown ,Male,Professor,947,1996,0.658,0.278,0.592083333,0.580083333,1.020686683,25,37.88
Jeffrey Hoffstein,Brown ,Male,Professor,1164,1978,0.723,0.782,0.592083333,0.580083333,1.020686683,43,27.06976744
Jeremy Kahn,Brown ,Male,Professor,190,1991,0.179,0.414,0.592083333,0.580083333,1.020686683,30,6.333333333
Nicolaos Kapouleas,Brown ,Male,Professor,391,1987,0.371,0.53,0.592083333,0.580083333,1.020686683,34,11.5
Richard Schwartz,Brown ,Male,Professor,604,1991,0.509,0.414,0.592083333,0.580083333,1.020686683,30,20.13333333
Joseph Silverman,Brown ,Male,Professor,5479,1978,0.974,0.782,0.592083333,0.580083333,1.020686683,43,127.4186047
Sergei Treil,Brown ,Male,Professor,1837,1983,0.841,0.652,0.592083333,0.580083333,1.020686683,38,48.34210526
Elena Mantovan,CIT,Female,Professor,68,1998,0.068,0.209,0.502772727,0.299318182,1.679726651,23,2.956521739
Matilde Marcolli,CIT,Female,Professor,1064,1993,0.699,0.363,0.502772727,0.299318182,1.679726651,28,38
Lu Wang,CIT,Female,Professor,101,2008,0.095,0.012,0.502772727,0.299318182,1.679726651,13,7.769230769
David Conlon,CIT,Male,Professor,545,2006,0.477,0.027,0.502772727,0.299318182,1.679726651,15,36.33333333
Matthias Flach,CIT,Male,Professor,518,1986,0.459,0.564,0.502772727,0.299318182,1.679726651,35,14.8
Rupert Frank,CIT,Male,Professor,1551,2003,0.8,0.082,0.502772727,0.299318182,1.679726651,18,86.16666667
Thomas Graber,CIT,Male,Professor,1010,1998,0.679,0.209,0.502772727,0.299318182,1.679726651,23,43.91304348
Sergei Gukov,CIT,Male,Professor,1049,1997,0.694,0.24,0.502772727,0.299318182,1.679726651,24,43.70833333
Phil Isett,CIT,Male,Professor,167,2013,0.155,0.002,0.502772727,0.299318182,1.679726651,8,20.875
A Kapustin,CIT,Male,Professor,922,1992,0.653,0.387,0.502772727,0.299318182,1.679726651,29,31.79310345
Nets Katz,CIT,Male,Professor,1091,1993,0.707,0.363,0.502772727,0.299318182,1.679726651,28,38.96428571
Alexander Kechris,CIT,Male,Professor,3984,1972,0.951,0.897,0.502772727,0.299318182,1.679726651,49,81.30612245
Alexei Kitaev,CIT,Male,Professor,767,1991,0.599,0.414,0.502772727,0.299318182,1.679726651,30,25.56666667
Nikolai Makarov,CIT,Male,Professor,712,1981,0.574,0.714,0.502772727,0.299318182,1.679726651,40,17.8
Vlad Markovic,CIT,Male,Professor,521,1996,0.46,0.278,0.502772727,0.299318182,1.679726651,25,20.84
Yi Ni,CIT,Male,Professor,383,2004,0.367,0.061,0.502772727,0.299318182,1.679726651,17,22.52941176
Hiroshi Oguri,CIT,Male,Professor,1310,1985,0.759,0.593,0.502772727,0.299318182,1.679726651,36,36.38888889
Maksym Radziwill,CIT,Male,Professor,193,2012,0.18,0.002,0.502772727,0.299318182,1.679726651,9,21.44444444
Eric Rains,CIT,Male,Professor,2102,1991,0.867,0.414,0.502772727,0.299318182,1.679726651,30,70.06666667
Dinakar Ramakrishnan,CIT,Male,Professor,775,1980,0.603,0.739,0.502772727,0.299318182,1.679726651,41,18.90243902
Omer Tamuz,CIT,Male,Professor,59,2010,0.062,0.006,0.502772727,0.299318182,1.679726651,11,5.363636364
Xinwen Zhu,CIT,Male,Professor,165,2009,0.153,0.009,0.502772727,0.299318182,1.679726651,12,13.75
Panagiota Daskalopoulos,Columbia,Female,Professor,613,1992,0.516,0.387,0.691153846,0.523807692,1.319480138,29,21.13793103
Chiu Chiu Melissa Liu,Columbia,Female,Professor,614,2001,0.517,0.124,0.691153846,0.523807692,1.319480138,20,30.7
Dusa McDuff,Columbia,Female,Professor,3749,1969,0.943,0.939,0.691153846,0.523807692,1.319480138,52,72.09615385
Mohammed Abouziad,Columbia,Male,Professor,465,2006,0.422,0.027,0.691153846,0.523807692,1.319480138,15,31
David Bayer,Columbia,Male,Professor,972,1982,0.666,0.684,0.691153846,0.523807692,1.319480138,39,24.92307692
Simon Brendle,Columbia,Male,Professor,1559,2000,0.802,0.147,0.691153846,0.523807692,1.319480138,21,74.23809524
Ivan Corwin,Columbia,Male,Professor,1196,2008,0.733,0.012,0.691153846,0.523807692,1.319480138,13,92
Johan de Jong,Columbia,Male,Professor,1154,1990,0.719,0.436,0.691153846,0.523807692,1.319480138,31,37.22580645
Julien Dubedat,Columbia,Male,Professor,263,2003,0.262,0.082,0.691153846,0.523807692,1.319480138,18,14.61111111
Robert Friedman,Columbia,Male,Professor,1191,1981,0.732,0.714,0.691153846,0.523807692,1.319480138,40,29.775
Dorian Goldfeld,Columbia,Male,Professor,1073,1968,0.702,0.949,0.691153846,0.523807692,1.319480138,53,20.24528302
Brian Greene,Columbia,Male,Professor,488,1986,0.435,0.564,0.691153846,0.523807692,1.319480138,35,13.94285714
Richard Hamilton,Columbia,Male,Professor,4350,1966,0.959,0.966,0.691153846,0.523807692,1.319480138,55,79.09090909
Michael Harris,Columbia,Male,Professor,2073,1971,0.864,0.913,0.691153846,0.523807692,1.319480138,50,41.46
Ioannis Karatzas,Columbia,Male,Professor,6364,1980,0.984,0.739,0.691153846,0.523807692,1.319480138,41,155.2195122
Mikhail Khovanov,Columbia,Male,Professor,2461,1995,0.889,0.304,0.691153846,0.523807692,1.319480138,26,94.65384615
Igor Krichever,Columbia,Male,Professor,2118,1971,0.867,0.913,0.691153846,0.523807692,1.319480138,50,42.36
Walter Neumann,Columbia,Male,Professor,2306,1968,0.878,0.949,0.691153846,0.523807692,1.319480138,53,43.50943396
Andrei Okounkov,Columbia,Male,Professor,3362,1994,0.934,0.334,0.691153846,0.523807692,1.319480138,27,124.5185185
Duong Hong Phong,Columbia,Male,Professor,1870,1977,0.847,0.805,0.691153846,0.523807692,1.319480138,44,42.5
Henry Pinkham,Columbia,Male,Professor,301,1974,0.298,0.869,0.691153846,0.523807692,1.319480138,47,6.404255319
Ovidiu Savin,Columbia,Male,Professor,1149,2000,0.718,0.147,0.691153846,0.523807692,1.319480138,21,54.71428571
Michael Thaddeus,Columbia,Male,Professor,495,1992,0.44,0.387,0.691153846,0.523807692,1.319480138,29,17.06896552
Eric Jean-Paul Urban,Columbia,Male,Professor,315,1995,0.31,0.304,0.691153846,0.523807692,1.319480138,26,12.11538462
Mu-Tao Wang,Columbia,Male,Professor,735,1997,0.584,0.24,0.691153846,0.523807692,1.319480138,24,30.625
Michael Weinstein,Columbia,Male,Professor,3908,1982,0.949,0.684,0.691153846,0.523807692,1.319480138,39,100.2051282
Tara Holm,Cornell,Female,Professor,221,1998,0.218,0.209,0.47165625,0.5585625,0.844410876,23,9.608695652
Irena Peeva,Cornell,Female,Professor,898,1989,0.646,0.469,0.47165625,0.5585625,0.844410876,32,28.0625
Birgit Speh,Cornell,Female,Professor,287,1977,0.286,0.805,0.47165625,0.5585625,0.844410876,44,6.522727273
Marcelo Aguiar,Cornell,Male,Professor,756,1997,0.595,0.24,0.47165625,0.5585625,0.844410876,24,31.5
Dan Barbasch,Cornell,Male,Professor,785,1976,0.609,0.823,0.47165625,0.5585625,0.844410876,45,17.44444444
Yuri Berest,Cornell,Male,Professor,587,1991,0.502,0.414,0.47165625,0.5585625,0.844410876,30,19.56666667
Xiaodong Cao,Cornell,Male,Professor,375,2005,0.359,0.041,0.47165625,0.5585625,0.844410876,16,23.4375
Robert Connelly,Cornell,Male,Professor,743,1970,0.59,0.927,0.47165625,0.5585625,0.844410876,51,14.56862745
R. Keith Dennis,Cornell,Male,Professor,222,1970,0.219,0.927,0.47165625,0.5585625,0.844410876,51,4.352941176
Timothy Healey,Cornell,Male,Professor,273,1988,0.27,0.5,0.47165625,0.5585625,0.844410876,33,8.272727273
John Hubbard,Cornell,Male,Professor,2084,1960,0.865,0.991,0.47165625,0.5585625,0.844410876,61,34.16393443
Martin Kassabov,Cornell,Male,Professor,343,2003,0.337,0.082,0.47165625,0.5585625,0.844410876,18,19.05555556
Allen Knutson,Cornell,Male,Professor,1010,1996,0.679,0.278,0.47165625,0.5585625,0.844410876,25,40.4
Jason Manning,Cornell,Male,Professor,203,2002,0.195,0.103,0.47165625,0.5585625,0.844410876,19,10.68421053
Justin Moore,Cornell,Male,Professor,325,1995,0.319,0.304,0.47165625,0.5585625,0.844410876,26,12.5
Camil Muscalu,Cornell,Male,Professor,606,1993,0.511,0.363,0.47165625,0.5585625,0.844410876,28,21.64285714
Anil Nerode,Cornell,Male,Professor,503,1956,0.447,0.998,0.47165625,0.5585625,0.844410876,65,7.738461538
Michael Nussbaum,Cornell,Male,Professor,455,1976,0.416,0.823,0.47165625,0.5585625,0.844410876,45,10.11111111
Ravi Ramakrishna,Cornell,Male,Professor,215,1992,0.21,0.387,0.47165625,0.5585625,0.844410876,29,7.413793103
Richard Rand,Cornell,Male,Professor,241,1970,0.241,0.927,0.47165625,0.5585625,0.844410876,51,4.725490196
Laurent Saloff-Coste,Cornell,Male,Professor,4124,1983,0.955,0.652,0.47165625,0.5585625,0.844410876,38,108.5263158
Shankar Sen,Cornell,Male,Professor,211,1963,0.204,0.982,0.47165625,0.5585625,0.844410876,58,3.637931034
Richard Shore ,Cornell,Male,Professor,1048,1971,0.692,0.913,0.47165625,0.5585625,0.844410876,50,20.96
Reyer Sjamaar,Cornell,Male,Professor,617,1991,0.52,0.414,0.47165625,0.5585625,0.844410876,30,20.56666667
Slawomir Solecki,Cornell,Male,Professor,736,1989,0.586,0.469,0.47165625,0.5585625,0.844410876,32,23
Michael Stillman,Cornell,Male,Professor,654,1983,0.544,0.652,0.47165625,0.5585625,0.844410876,38,17.21052632
Robert Strichartz,Cornell,Male,Professor,3860,1965,0.947,0.974,0.47165625,0.5585625,0.844410876,56,68.92857143
Steven Strogatz,Cornell,Male,Professor,1036,1983,0.685,0.652,0.47165625,0.5585625,0.844410876,38,27.26315789
Edward Swartz,Cornell,Male,Professor,249,1999,0.251,0.172,0.47165625,0.5585625,0.844410876,22,11.31818182
Alexander Vladimirsky,Cornell,Male,Professor,386,2000,0.37,0.147,0.47165625,0.5585625,0.844410876,21,18.38095238
Marten Wegkamp,Cornell,Male,Professor,668,1996,0.553,0.278,0.47165625,0.5585625,0.844410876,25,26.72
James E. West,Cornell,Male,Professor,274,1967,0.272,0.958,0.47165625,0.5585625,0.844410876,54,5.074074074
Anne Gelb,Dartmouth,Female,Professor,616,1996,0.519,0.278,0.358933333,0.538,0.66716233,25,24.64
Carolyn Gordyn,Dartmouth,Female,Professor,1000,1979,0.675,0.76,0.358933333,0.538,0.66716233,42,23.80952381
Marcia Groszek,Dartmouth,Female,Professor,70,1981,0.071,0.714,0.358933333,0.538,0.66716233,40,1.75
Rosa Orellana,Dartmouth,Female,Professor,171,1999,0.16,0.172,0.358933333,0.538,0.66716233,22,7.772727273
Dorothy Wallace,Dartmouth,Female,Professor,43,1982,0.049,0.684,0.358933333,0.538,0.66716233,39,1.102564103
Vladimir Chernov,Dartmouth,Male,Professor,152,1997,0.14,0.24,0.358933333,0.538,0.66716233,24,6.333333333
Peter Doyle,Dartmouth,Male,Professor,526,1982,0.463,0.684,0.358933333,0.538,0.66716233,39,13.48717949
Sergi Elizalde,Dartmouth,Male,Professor,471,2003,0.426,0.082,0.358933333,0.538,0.66716233,18,26.16666667
Phillip Hanlon,Dartmouth,Male,Professor,91,1979,0.088,0.76,0.358933333,0.538,0.66716233,42,2.166666667
Scott Pauls,Dartmouth,Male,Professor,506,1998,0.45,0.209,0.358933333,0.538,0.66716233,23,22
Daniel Rockmore,Dartmouth,Male,Professor,507,1989,0.453,0.469,0.358933333,0.538,0.66716233,32,15.84375
Thomas Shemanske,Dartmouth,Male,Professor,94,1979,0.089,0.76,0.358933333,0.538,0.66716233,42,2.238095238
David Webb,Dartmouth,Male,Professor,262,1983,0.261,0.652,0.358933333,0.538,0.66716233,38,6.894736842
Dana Williams,Dartmouth,Male,Professor,1570,1979,0.805,0.76,0.358933333,0.538,0.66716233,42,37.38095238
Peter Winkler,Dartmouth,Male,Professor,1209,1975,0.735,0.846,0.358933333,0.538,0.66716233,46,26.2826087
Anne Schilling,Davis,Female,Professor,969,1994,0.666,0.334,0.357567568,0.354513514,1.008614775,27,35.88888889
Jennifer Schultens,Davis,Female,Professor,395,1993,0.377,0.363,0.357567568,0.354513514,1.008614775,28,14.10714286
Laura Starkston,Davis,Female,Professor,26,2010,0.032,0.006,0.357567568,0.354513514,1.008614775,11,2.363636364
Becca Thomases,Davis,Female,Professor,232,2003,0.23,0.082,0.357567568,0.354513514,1.008614775,18,12.88888889
Abigail Thompson,Davis,Female,Professor,542,1986,0.476,0.564,0.357567568,0.354513514,1.008614775,35,15.48571429
Monica Vazirani,Davis,Female,Professor,252,1999,0.253,0.172,0.357567568,0.354513514,1.008614775,22,11.45454545
Mariel Vazquez,Davis,Female,Professor,41,2004,0.046,0.061,0.357567568,0.354513514,1.008614775,17,2.411764706
Javier Arsuaga,Davis,Male,Professor,28,2000,0.035,0.147,0.357567568,0.354513514,1.008614775,21,1.333333333
Eric Babson,Davis,Male,Professor,576,1994,0.492,0.334,0.357567568,0.354513514,1.008614775,27,21.33333333
Zhaojun Bai,Davis,Male,Professor,860,1988,0.633,0.5,0.357567568,0.354513514,1.008614775,33,26.06060606
Craig John Benham,Davis,Male,Professor,14,1972,0.019,0.897,0.357567568,0.354513514,1.008614775,49,0.285714286
Joseph Biello,Davis,Male,Professor,104,2000,0.1,0.147,0.357567568,0.354513514,1.008614775,21,4.952380952
Jesus De Loera,Davis,Male,Professor,973,1995,0.667,0.304,0.357567568,0.354513514,1.008614775,26,37.42307692
Albert Fannjiang,Davis,Male,Professor,661,1994,0.548,0.334,0.357567568,0.354513514,1.008614775,27,24.48148148
Roland W Freund,Davis,Male,Professor,1302,1982,0.756,0.684,0.357567568,0.354513514,1.008614775,39,33.38461538
Janko Gravner,Davis,Male,Professor,303,1986,0.301,0.564,0.357567568,0.354513514,1.008614775,35,8.657142857
Niels Gronbech-Jensen,Davis,Male,Professor,9,1992,0.015,0.387,0.357567568,0.354513514,1.008614775,29,0.310344828
Robert Guy,Davis,Male,Professor,204,2002,0.197,0.103,0.357567568,0.354513514,1.008614775,19,10.73684211
Joel Hass,Davis,Male,Professor,645,1981,0.538,0.714,0.357567568,0.354513514,1.008614775,40,16.125
John Hunter,Davis,Male,Professor,0,2004,0,0.061,0.357567568,0.354513514,1.008614775,17,0
Michael Kapovich,Davis,Male,Professor,5,1986,0.012,0.564,0.357567568,0.354513514,1.008614775,35,0.142857143
Matthias Koeppe,Davis,Male,Professor,330,2001,0.321,0.124,0.357567568,0.354513514,1.008614775,20,16.5
Greg Kuperberg,Davis,Male,Professor,1225,1990,0.738,0.436,0.357567568,0.354513514,1.008614775,31,39.51612903
Timothy Lewis,Davis,Male,Professor,52,1998,0.054,0.209,0.357567568,0.354513514,1.008614775,23,2.260869565
Ben Morris,Davis,Male,Professor,234,1999,0.232,0.172,0.357567568,0.354513514,1.008614775,22,10.63636364
Motohico Mulase,Davis,Male,Professor,535,1979,0.471,0.76,0.357567568,0.354513514,1.008614775,42,12.73809524
Bruno Nachtergaele,Davis,Male,Professor,828,1985,0.623,0.593,0.357567568,0.354513514,1.008614775,36,23
Elbridge Gerry Puckett,Davis,Male,Professor,494,1987,0.438,0.53,0.357567568,0.354513514,1.008614775,34,14.52941176
Dan Romik,Davis,Male,Professor,336,1999,0.328,0.172,0.357567568,0.354513514,1.008614775,22,15.27272727
Naoki Saito,Davis,Male,Professor,64,1994,0.065,0.334,0.357567568,0.354513514,1.008614775,27,2.37037037
Steve Shkoller,Davis,Male,Professor,1602,1994,0.81,0.334,0.357567568,0.354513514,1.008614775,27,59.33333333
Alexander Soshnikov,Davis,Male,Professor,1061,1993,0.697,0.363,0.357567568,0.354513514,1.008614775,28,37.89285714
Thomas Strohmer,Davis,Male,Professor,1340,1995,0.764,0.304,0.357567568,0.354513514,1.008614775,26,51.53846154
John Blake Temple,Davis,Male,Professor,0,2002,0,0.103,0.357567568,0.354513514,1.008614775,19,0
Craig Tracy,Davis,Male,Professor,2138,1977,0.869,0.805,0.357567568,0.354513514,1.008614775,44,48.59090909
Andrew K. Waldron,Davis,Male,Professor,257,1996,0.257,0.278,0.357567568,0.354513514,1.008614775,25,10.28
Qinglan Xia,Davis,Male,Professor,181,1996,0.17,0.278,0.357567568,0.354513514,1.008614775,25,7.24
Lauren Williams,Harvard,Female,Professor,782,1996,0.607,0.278,0.791947368,0.628157895,1.260745706,25,31.28
Denis Auroux,Harvard,Male,Professor,739,1996,0.587,0.278,0.791947368,0.628157895,1.260745706,25,29.56
Noam Elkies,Harvard,Male,Professor,1242,1986,0.743,0.564,0.791947368,0.628157895,1.260745706,35,35.48571429
Dennis Gaitsgory,Harvard,Male,Professor,1123,1995,0.713,0.304,0.791947368,0.628157895,1.260745706,26,43.19230769
Joe Harris,Harvard,Male,Professor,9404,1977,0.992,0.805,0.791947368,0.628157895,1.260745706,44,213.7272727
Mike Hopkins,Harvard,Male,Professor,1600,1984,0.809,0.622,0.791947368,0.628157895,1.260745706,37,43.24324324
Mark Kisin,Harvard,Male,Professor,992,1994,0.673,0.334,0.791947368,0.628157895,1.260745706,27,36.74074074
Peter Kronheimer,Harvard,Male,Professor,2170,1981,0.87,0.714,0.791947368,0.628157895,1.260745706,40,54.25
Jacob Lurie,Harvard,Male,Professor,776,1998,0.604,0.209,0.791947368,0.628157895,1.260745706,23,33.73913043
Eric Maskin,Harvard,Male,Professor,1308,1976,0.759,0.823,0.791947368,0.628157895,1.260745706,45,29.06666667
Barry Mazur,Harvard,Male,Professor,4452,1959,0.961,0.994,0.791947368,0.628157895,1.260745706,62,71.80645161
Curt McMullen,Harvard,Male,Professor,3086,1984,0.923,0.622,0.791947368,0.628157895,1.260745706,37,83.40540541
Martin Nowak,Harvard,Male,Professor,1011,1989,0.68,0.469,0.791947368,0.628157895,1.260745706,32,31.59375
Wilfried Schmid,Harvard,Male,Professor,1340,1967,0.764,0.958,0.791947368,0.628157895,1.260745706,54,24.81481481
Yum Tong Siu,Harvard,Male,Professor,2340,1965,0.882,0.974,0.791947368,0.628157895,1.260745706,56,41.78571429
Cliff Taubes,Harvard,Male,Professor,2775,1978,0.909,0.782,0.791947368,0.628157895,1.260745706,43,64.53488372
Hugh Woodin,Harvard,Male,Professor,826,1981,0.622,0.714,0.791947368,0.628157895,1.260745706,40,20.65
Horng-tzer Yau,Harvard,Male,Professor,4055,1986,0.952,0.564,0.791947368,0.628157895,1.260745706,35,115.8571429
Shing-Tung Yau,Harvard,Male,Professor,14245,1970,0.997,0.927,0.791947368,0.628157895,1.260745706,51,279.3137255
Svetlana Jitomirskaya,Irvine,Female,Professor,1242,1990,0.743,0.436,0.529923077,0.397807692,1.332108673,31,40.06451613
Natalia Komarova,Irvine,Female,Professor,233,1995,0.231,0.304,0.529923077,0.397807692,1.332108673,26,8.961538462
